"content: USER","","","","","","","","","","",""
"id","username","password","email","first_name","last_name","is_superuser","is_staff","is_active","","",""
"1","student1","student123456","student1@mr-lam.com","Lê","Minh Châu","","","1","","",""
"2","student2","student123457","student2@mr-lam.com","Phạm","Đức Dũng","","","1","","",""
"3","student3","student123458","student3@mr-lam.com","Hoàng","Thị Ngọc","","","1","","",""
"4","student4","student123459","student4@mr-lam.com","Vũ","Quang Huy","","","1","","",""
"5","student5","student123460","student5@mr-lam.com","Ngô","Thanh Hương","","","1","","",""
"6","student6","student123461","student6@mr-lam.com","Đinh","Văn Khang","","","1","","",""
"7","student7","student123462","student7@mr-lam.com","Bùi","Thị Lan","","","1","","",""
"8","student8","student123463","student8@mr-lam.com","Lý","Minh Nam","","","1","","",""
"9","student9","student123464","student9@mr-lam.com","Đoàn","Thị Phượng","","","1","","",""
"10","student10","student123465","student10@mr-lam.com","Mai","Văn Tâm","","","1","","",""
"11","teacher1","teacher123456","teacher1@mr-lam.com","Nguyễn","Văn An","","1","1","","",""
"12","teacher2","teacher123457","teacher2@mr-lam.com","Trần","Thị Bình","","1","1","","",""
"13","teacher3","teacher123458","teacher3@mr-lam.com","Lê","Hồng Cẩm","","1","1","","",""
"14","admin","admin123456","admin@mr-lam.com","Quản Trị","Hệ Thống","1","1","1","","",""
"","","","","","","","","","","",""
"content: USER_PROFILE","","","","","","","","","","",""
"userprofile_id","dob","sex","description","image","","","","","","",""
"1","2005-05-10","F","Học sinh","https://example.com/student1.jpg","","","","","","",""
"2","2006-08-25","M","Học sinh","https://example.com/student2.jpg","","","","","","",""
"3","2007-02-14","F","Học sinh","https://example.com/student3.jpg","","","","","","",""
"4","2005-11-30","M","Học sinh","https://example.com/student4.jpg","","","","","","",""
"5","2006-09-18","F","Học sinh","https://example.com/student5.jpg","","","","","","",""
"6","2007-04-05","M","Học sinh","https://example.com/student6.jpg","","","","","","",""
"7","2005-12-12","F","Học sinh","https://example.com/student7.jpg","","","","","","",""
"8","2006-06-20","M","Học sinh","https://example.com/student8.jpg","","","","","","",""
"9","2007-03-03","F","Học sinh","https://example.com/student9.jpg","","","","","","",""
"10","2005-10-28","M","Học sinh","https://example.com/student10.jpg","","","","","","",""
